iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
OWID_WRL,,World,3/1/2020,88394,2381,1344.571,2996,54,75.143,11.34,0.305,0.172,0.384,0.007,0.01,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,7794798729,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737
OWID_WRL,,World,3/2/2020,90377,1983,1547.286,3085,89,65,11.595,0.254,0.199,0.396,0.011,0.008,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,7794798729,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737
OWID_WRL,,World,3/3/2020,92971,2594,1796,3160,75,64.286,11.927,0.333,0.23,0.405,0.01,0.008,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,7794798729,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737
OWID_WRL,,World,3/4/2020,95279,2308,1986.143,3255,95,69.143,12.223,0.296,0.255,0.418,0.012,0.009,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,7794798729,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737
OWID_WRL,,World,3/5/2020,98090,2811,2193.429,3349,94,76.429,12.584,0.361,0.281,0.43,0.012,0.01,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,7794798729,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737
OWID_WRL,,World,3/6/2020,102003,3913,2554.429,3460,111,83.857,13.086,0.502,0.328,0.444,0.014,0.011,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,7794798729,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737
OWID_WRL,,World,3/7/2020,106098,4095,2869.286,3564,104,88.857,13.611,0.525,0.368,0.457,0.013,0.011,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,7794798729,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737
OWID_WRL,,World,3/8/2020,110047,3949,3093.286,3803,239,115.286,14.118,0.507,0.397,0.488,0.031,0.015,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,7794798729,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737
OWID_WRL,,World,3/9/2020,114219,4172,3406,3993,190,129.714,14.653,0.535,0.437,0.512,0.024,0.017,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,7794798729,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737
OWID_WRL,,World,3/10/2020,119041,4822,3724.286,4267,274,158.143,15.272,0.619,0.478,0.547,0.035,0.02,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,7794798729,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737
OWID_WRL,,World,3/11/2020,126702,7661,4489,4611,344,193.714,16.255,0.983,0.576,0.592,0.044,0.025,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,7794798729,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737
OWID_WRL,,World,3/12/2020,132492,5790,4914.571,4917,306,224,16.997,0.743,0.63,0.631,0.039,0.029,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,7794798729,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737
OWID_WRL,,World,3/13/2020,146876,14384,6410.429,5414,497,279.143,18.843,1.845,0.822,0.695,0.064,0.036,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,7794798729,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737
OWID_WRL,,World,3/14/2020,157950,11074,7407.429,5834,420,324.286,20.264,1.421,0.95,0.748,0.054,0.042,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,7794798729,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737
OWID_WRL,,World,3/15/2020,169219,11269,8453.143,6470,636,381,21.709,1.446,1.084,0.83,0.082,0.049,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,7794798729,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737
OWID_WRL,,World,3/16/2020,184027,14808,9972.571,7153,683,451.429,23.609,1.9,1.279,0.918,0.088,0.058,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,7794798729,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737
OWID_WRL,,World,3/17/2020,199970,15943,11561.286,7966,813,528.429,25.654,2.045,1.483,1.022,0.104,0.068,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,7794798729,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737
OWID_WRL,,World,3/18/2020,219535,19565,13261.857,8872,906,608.714,28.164,2.51,1.701,1.138,0.116,0.078,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,7794798729,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737
OWID_WRL,,World,3/19/2020,246584,27049,16298.857,9983,1111,723.714,31.634,3.47,2.091,1.281,0.143,0.093,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,7794798729,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737
